Before sentiment factor:-
21 	0.6377777777777783 	0.44
22 	0.6111111111111116 	0.56
23 	0.6625 			0.625
24 	0.6133333333333335 	0.44
25 	0.604615384615385 	0.54
26 	0.5114285714285717 	0.5
27 	0.5685714285714287 	0.14
28 	0.6075 			0.625*
29 	0.6190909090909092 	0.59
30 	0.623157894736842 	0.63*
31 	0.4675 			0.375
32 	0.508 			0.6*
33 	0.82 				0.67
34 	0.43799999999999994 	0.6*
35 	0.5088888888888888 	0.44
	8.801475299554248 	7.7749999999999995


After sentiment factor(non absolute):-
21 	0.5800000000000004 	0.44
22 	0.6311111111111115 	0.56
23 	0.66 				0.625
24 	0.6288888888888889 	0.44
25 	0.5507692307692311 	0.54
26 	0.5642857142857144 	0.5
27 	0.5800000000000002 	0.14
28 	0.65 				0.625
29 	0.620909090909091 	0.59
30 	0.5789473684210527 	0.63*
31 	0.48 				0.375
32 	0.6560000000000005 	0.6
33 	0.8111111111111111 	0.67
34 	0.428 			0.6*
35 	0.5622222222222224 	0.44
	8.982244737718426 	7.7749999999999995


After sentiment factor(absolute):-
21 	0.5622222222222225 	0.44
22 	0.6000000000000004 	0.56
23 	0.66875 			0.625
24 	0.6255555555555558 	0.44
25 	0.5876923076923081 	0.54
26 	0.5442857142857144 	0.5
27 	0.537142857142857 	0.14
28 	0.66 				0.625
29 	0.6100000000000001 	0.59
30 	0.5957894736842104 	0.63*
31 	0.465 			0.375
32 	0.5920000000000002 	0.6*
33 	0.7688888888888894 	0.67
34 	0.486 			0.6*
35 	0.5644444444444447 	0.44
	8.867771463916203 	7.7749999999999995
